dominant_topic,topic_label,dominant_topic_probability,theme_bucket,videoTitle,text_clean
0,general_liveability_and_city_amenities,0.9745390324169793,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide","my MEMORY in ""Melbourne"" weren't as Great as being- a HUMAN!! My FIRST year studying in Melb.， I alReady got ROBBED &my iphone📲 6s got STOLEN inside CAMPUS(taylors college) ， Follow by da same Exact year，got held up, ""Lectured"" &Told OFF by 2border force OFFICERS at Melb.(Tullamarine) international airport on my way to Departure Gate before departing bacK to MALAYSIA🇲🇾🇲🇾🇲🇾 NOT to mention, always got ignored by the LOCALS &didn't get served by in their Cafés &Restaurants as IF i'm da **BRITISH CONVICTS** in this STORY!!!"
0,general_liveability_and_city_amenities,0.9699974209192551,city_comparison,Sydney and Melbourne Compared,"@timothyjennings9520 I think the point is that the Melbourne Cricket Ground is over double the size of the Sydney Cricket Ground and is a stadium with one of the highest attendance rates in the world and also houses the Australian Football League which is a league with one of the highest attendance rates in the world. The Sydney Cricket Ground is known for .... (Um, I guess Cricket oh and that it's in Sydney)"
0,general_liveability_and_city_amenities,0.9600660818708342,liveability_general,What Is Livability? A Field Report from Melbourne,Best sporting city in the world. Huge stadiums within walking/tram distance of the cbd. Grand Slam tennis right next to the G. F1 not far away. No other city in the world has so many sports or so accessible.
0,general_liveability_and_city_amenities,0.9477709865495468,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",@stuartfarrow2338 ​ of COURSE👍👍WHY Whinge and end up stay....?! the phrase (or slogan) - Palestine🇵🇸🇵🇸 Will be free should used in Australia🇦🇺🦘 too .. “AUSTRALIA🇦🇺🦘 will be Free” from British CONVICTS💂‍♀🇬🇧
0,general_liveability_and_city_amenities,0.9476434276591309,liveability_general,What Is Livability? A Field Report from Melbourne,"Yeah everything in an Australian city is a suburb. Inner-city Melbourne counts as a ""suburb"" of Melbourne. It's influenced in part by the British tradition of cities being divided into tiny sub-cities, in part by the Australian postal system where most suburbs get their own four-digit postcodes (although sometimes adjacent suburbs have to share postcodes), and in part by the Australian Bureau of Statistics' Statistical Area divisions -- what we call a ""suburb"", they call an ""SA2 division""."
0,general_liveability_and_city_amenities,0.9475923187341196,living_experience,Should you live in Melbourne? Our HONEST thoughts,@chrispekel5709 Could Melbourne people rate their city so highly because it simply is so good? Rated world's most livable city 7 times - Sydney 0. More than any other city in the world.
0,general_liveability_and_city_amenities,0.9444009332750903,other,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",@stuartfarrow2338 the phrase (or slogan) - Palestine will be free should used in Australia🇦🇺🦘 too .. “Australians will be Free” from British CONVICTS💂‍♀🇬🇧 Free de Aborigines🇦🇪🇦🇪🇦🇪
0,general_liveability_and_city_amenities,0.944136846274286,living_experience,9 Things You SHOULD KNOW Before Moving to Melbourne | Moving to Australia,"Most people in Melbourne are very friendly. If you study here, there will be lots of other international students you will be able to relate to, but many Australians will include you and befriend you to make friends if you aren't too shy. Just put yourself out there and be social and you will make friends!"
1,city_comparison_weather_and_lifestyle,0.9864127337796074,cost_housing,Why Melbourne Feels Different Than Sydney,"Melbourne & Victoria were established during a rich gold era in the late 1800's when it was the wealthiest place on Earth.A lot of grand historic buildings were built then in Melbourne like the Exhibition building & in the gold regional towns.Sovereign Hill is an interesting day trip of history.If you like Australian wildlife, Healesville Sanctuary,the Dandanong Ranges & Yarra Valley are good places to explore.In Autumn & Winter the High country areas around Bright picturesque.In Summer the beach from St.Kilda all the way to down to Portsea or go west past Geelong & explore Great Ocean Rd coastal drive.Also a drive up to Mildura you can see many vineyards, Murray River historic towns with paddle steamer tours on river.Wilsons Promontory & Phillip Island quite scenic areas too.Victoria has major cultural events & a bit of everything throughout the year."
1,city_comparison_weather_and_lifestyle,0.9859382274176702,living_experience,Should you live in Melbourne? | Pros and cons of living in Melbourne,"Jamie I'm also from Perth (north of the river, not too far from the ocean) and have also lived in Melbourne for years and years. I miss Perth/WA beaches too! 😭 I was a ""water baby"" growing up, thankfully my lifestyle isn't beach-dependent as an adult but I'd still like to have the option of being able to go to a great suburban beach without leaving the city. I actually like the changeability of Melbourne's weather, for the most part, because I know that if there's a scorching 40 degree day there's a good chance of the heat breaking tomorrow. A reprieve. Whereas in Perth summers it's just way too damn hot, over and over. And I empathise with those memories of musicians skipping Perth! I'll add a pro: Because there are lots of people in Melbourne who are from elsewhere, I think it's easier to strike new friendships, people on the whole are less insular and less limited to their existing/longstanding friend groups. And a con: How long the winters are. I don't mind the cold so much, but winter seems to start earlier and end much later here than in Perth."
