videoId,videoTitle,topic_col,mean_topic_probability,topic_id,topic_label
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_0_prob,0.22662334039081983,0,general_liveability_and_city_amenities
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_0_prob,0.0791154315305919,0,general_liveability_and_city_amenities
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_0_prob,0.06147232680000882,0,general_liveability_and_city_amenities
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_0_prob,0.1404332182488448,0,general_liveability_and_city_amenities
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_0_prob,0.12819732153456287,0,general_liveability_and_city_amenities
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_0_prob,0.12773232913935784,0,general_liveability_and_city_amenities
ea14oVK8XLw,Sydney and Melbourne Compared,topic_0_prob,0.15835378196172223,0,general_liveability_and_city_amenities
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_0_prob,0.12799107403814722,0,general_liveability_and_city_amenities
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_0_prob,0.13568129013231423,0,general_liveability_and_city_amenities
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_0_prob,0.14743487872983874,0,general_liveability_and_city_amenities
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_1_prob,0.1436346180676857,1,city_comparison_weather_and_lifestyle
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_1_prob,0.11703919655169101,1,city_comparison_weather_and_lifestyle
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_1_prob,0.07656833166541517,1,city_comparison_weather_and_lifestyle
